processid,sampleid,recordID,catalognum,fieldnum,institution_storing,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,voucher_type,tissue_type,collectors,collectiondate,lifestage,sex,reproduction,extrainfo,notes,lat,lon,coord_source,coord_accuracy,country,province,region,exactsite
FOAE361-06,BW-A2573,295160, ,G750,"CSIRO, Australian National Fish Collection",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , ,Indo Oz project & William White,4/17/04, , , ,FAO-57,(var Bali),-8.75,115.167, , ,Indonesia,Bali,"Kedonganan, Jimbaran Bay",Kedonganan market
FOAE362-06,BW-A2574,295161, ,G751,"CSIRO, Australian National Fish Collection",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , ,Indo Oz project & William White,4/17/04, , , ,FAO-57,(var Bali),-8.75,115.167, , ,Indonesia,Bali,"Kedonganan, Jimbaran Bay",Kedonganan market
FOAE363-06,BW-A2575,295162, ,G764,"CSIRO, Australian National Fish Collection",BOLD:ABZ6131,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , ,Indo Oz project & William White,4/19/04, , , , ,(var Java), , , , ,Indonesia, ,Java,"Muara Angke market, Jakarta"
FOAE364-06,BW-A2576,295163, ,G765,"CSIRO, Australian National Fish Collection",BOLD:ABZ6131,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , ,Indo Oz project & William White,4/19/04, , , , ,(var Java), , , , ,Indonesia, ,Java,"Muara Angke market, Jakarta"
FOAE365-06,BW-A2577,295164, ,G766,"CSIRO, Australian National Fish Collection",BOLD:ABZ6131,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , ,Indo Oz project & William White,4/19/04, , , , ,(var Java), , , , ,Indonesia, ,Java,"Muara Angke market, Jakarta"
FOAE366-06,BW-A2578,295165, ,G767,"CSIRO, Australian National Fish Collection",BOLD:ABZ6131,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , ,Indo Oz project & William White,4/19/04, , , , ,(var Java), , , , ,Indonesia, ,Java,"Muara Angke market, Jakarta"
FOAE367-06,BW-A2579,295166, ,G768,"CSIRO, Australian National Fish Collection",BOLD:ABZ6131,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , ,Indo Oz project & William White,4/19/04, , , , ,(var Java), , , , ,Indonesia, ,Java,"Muara Angke market, Jakarta"
FOAE368-06,BW-A2580,295167, ,G578,"CSIRO, Australian National Fish Collection",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,William White, , ,Indo Oz project & William White,8/24/02, , , ,FAO-57,(var Bali),-8.75,115.167, , ,Indonesia,Bali,"Kedonganan, Jimbaran Bay",Kedonganan market
FOAE370-06,BW-A2582,295169, ,S1360,"CSIRO, Australian National Fish Collection",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , ,Indo Oz project & William White,4/16/04, , , ,FAO-57,(var Bali),-8.75,115.167, , ,Indonesia,Bali,"Kedonganan, Jimbaran Bay",Kedonganan market
FOAE371-06,BW-A2583,295170, ,S1363,"CSIRO, Australian National Fish Collection",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,William White, , ,Indo Oz project & William White,4/16/04, , , ,FAO-57,(var Bali),-8.75,115.167, , ,Indonesia,Bali,"Kedonganan, Jimbaran Bay",Kedonganan market
FOAE372-06,BW-A2584,295171, ,C1,"CSIRO, Australian National Fish Collection",BOLD:ABZ6130,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , , ,5/25/05, , , ,FAO-61,(var Taiwan), , , , ,Taiwan,Penghu County,Penghu Islands, 
FOAE373-06,BW-A2585,295172, ,C2,"CSIRO, Australian National Fish Collection",BOLD:ABZ6130,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , , ,5/25/05, , , ,FAO-61,(var Taiwan), , , , ,Taiwan,Penghu County,Penghu Islands, 
FOAE374-06,BW-A2586,295173, ,B3,"CSIRO, Australian National Fish Collection",BOLD:ABZ6130,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , , ,5/30/05, , , ,FAO-61,(var Taiwan), , , , ,Taiwan,Penghu County,Penghu Islands, 
FOAE375-06,BW-A2587,295174, ,B4,"CSIRO, Australian National Fish Collection",BOLD:ABZ6130,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , , , , , ,5/30/05, , , ,FAO-61,(var Taiwan), , , , ,Taiwan,Penghu County,Penghu Islands, 
FOAE431-06,BW-A2643,295230, ,G1163,"CSIRO, Australian National Fish Collection",BOLD:AAE1432,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,202049,Neotrygon cf. annotata, , , , , ,Indo Oz project & William White,12/6/05, , , , , , , , , ,Indonesia, ,Java,"Muara Angke market, Jakarta"
FOAE432-06,BW-A2644,295231, ,G1164,"CSIRO, Australian National Fish Collection",BOLD:AAE1432,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,202049,Neotrygon cf. annotata, , , , , ,Indo Oz project & William White,12/6/05, , , , , , , , , ,Indonesia, ,Java,"Muara Angke market, Jakarta"
FOAE433-06,BW-A2645,295232, ,G1165,"CSIRO, Australian National Fish Collection",BOLD:AAE1432,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,202049,Neotrygon cf. annotata, , , , , ,Indo Oz project & William White,12/6/05, , , , , , , , , ,Indonesia, ,Java,"Muara Angke market, Jakarta"
FOAE434-06,BW-A2646,295233, ,G1166,"CSIRO, Australian National Fish Collection",BOLD:AAE1432,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,202049,Neotrygon cf. annotata, , , , , ,Indo Oz project & William White,12/6/05, , , , , , , , , ,Indonesia, ,Java,"Muara Angke market, Jakarta"
FOAE435-06,BW-A2647,295234, ,G1167,"CSIRO, Australian National Fish Collection",BOLD:AAE1432,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,202049,Neotrygon cf. annotata, , , , , ,Indo Oz project & William White,12/6/05, , , , , , , , , ,Indonesia, ,Java,"Muara Angke market, Jakarta"
FOAF045-07,BW-A2917,524752,CSIRO H 6659-04,W1174a,Biodiversity Institute of Ontario,BOLD:AAC8580,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,202051,Neotrygon leylandi, , ,Peter Last, , ,Ashlee Jones,6/17/06, , , ,FAO-57, ,-21.917,114.333, , ,Australia,Western Australia, ,Exmouth
FOAF063-07,BW-A2935,524770,CSIRO H 6658-02,W1214,"CSIRO, Australian National Fish Collection",BOLD:AAC8580,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,202051,Neotrygon leylandi, , ,William White, , ,Ashlee Jones,6/19/06, ,F, ,FAO-57,153 DW,-25.5,113.683, , ,Australia,Western Australia,Shark Bay, 
FOAF064-07,BW-A2936,524771,CSIRO H 6658-03,W1215,Biodiversity Institute of Ontario,BOLD:AAC8580,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,202051,Neotrygon leylandi, , ,William White, , ,Ashlee Jones,6/19/06, ,F, ,FAO-57,164 DW,-25.5,113.683, , ,Australia,Western Australia,Shark Bay, 
FOAH738-08,BW-A5649,850195, ,DK24143,"CSIRO, Australian National Fish Collection",BOLD:AAA5609,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,Ian Jacobsen, , ,D. Gledhill (CSIRO),9/25/04, , , ,FAO-71,CSIRO unreg,-10.843,142.87, , ,Australia,Queensland,Great Barrier Reef,"Off Turtle Head Island, Northern GBR"
FOAH739-08,BW-A5650,850196, ,DK4340,"CSIRO, Australian National Fish Collection",BOLD:AAA5609,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,Ian Jacobsen, , ,D. Gledhill (CSIRO),1/17/04, , , ,FAO-71,CSIRO unreg,-10.723,141.722, , ,Australia,Queensland,Torres Strait,W of Thursday Island
FOAH742-08,BW-A5653,850199, ,DL24318,"CSIRO, Australian National Fish Collection",BOLD:AAB8927,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,203275,Neotrygon picta, , ,Ian Jacobsen, , ,D. Gledhill (CSIRO),9/29/04, , , ,FAO-71,CSIRO unreg,-11.169,143.311, , ,Australia,Queensland,Great Barrier Reef,"E of Captain Billy Landing, Northern GBR"
FOAH748-08,BW-A5659,850205, ,DL4340A,"CSIRO, Australian National Fish Collection",BOLD:AAB8927,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,203275,Neotrygon picta, , ,Ian Jacobsen, , ,D. Gledhill (CSIRO),1/17/04, , , ,FAO-71,CSIRO unreg,-10.723,141.722, , ,Australia,Queensland,Torres Strait,W of Thursday Island
FOAH750-08,BW-A5661,850207, ,DL4340C,"CSIRO, Australian National Fish Collection",BOLD:AAB8927,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,203275,Neotrygon picta, , ,Ian Jacobsen, , ,D. Gledhill (CSIRO),1/17/04, , , ,FAO-71,CSIRO unreg,-10.723,141.722, , ,Australia,Queensland,Torres Strait,W of Thursday Island
FOAH820-08,BW-A5731,974052, ,IN00290,"CSIRO, Australian National Fish Collection",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,William White, , ,W White & M Puckridge,10/18/08, , , ,FAO-57,CSIRO unreg,-7.03333,110.783, , ,Indonesia,Jawa Barat,Central Java,Sadeng
FOAH826-08,BW-A5737,974058, ,IN00285,"CSIRO, Australian National Fish Collection",BOLD:AAA5611,18,Chordata,34196,Elasmobranchii,24796,Myliobatiformes,34232,Dasyatidae, , ,179845,Neotrygon,180402,Neotrygon kuhlii, , ,William White, , ,W White & M Puckridge,10/18/08, , , ,FAO-57,CSIRO unreg,-7.03333,110.783, , ,Indonesia,Jawa Barat,Central Java,Sadeng
